state,positive,positiveScore,negativeScore,negativeRegularScore,commercialScore,grade,score,notes,dataQualityGrade,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,lastUpdateEt,checkTimeEt,death,hospitalized,total,totalTestResults,posNeg,fips,dateModified,dateChecked,lat,long
ME,1123,1,1,1,1,A,4,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",B,19546,,37,177,17,,9,,657,5/1/2020 11:45,5/1/2020 14:29,55,177,20669,20669,20669,23,2020-05-01T15:45:00Z,2020-05-01T18:29:00Z,45.2185133,-69.0148656
MI,42356,1,1,0,1,B,3,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",A+,148149,,2319,,966,,760,,8342,5/1/2020 11:00,5/1/2020 17:02,3866,,190505,190505,190505,26,2020-05-01T15:00:00Z,2020-05-01T21:02:00Z,44.9435598,-86.4158049
MN,5730,1,1,1,1,A,4,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",A,69099,,369,1096,118,380,,,2282,4/30/2020 17:00,5/1/2020 15:02,371,1096,74829,74829,74829,27,2020-04-30T21:00:00Z,2020-05-01T19:02:00Z,46.4418595,-93.3655146
MO,7835,1,1,1,1,A,4,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",A,74590,,883,,,,137,,,5/1/2020 15:00,5/1/2020 15:57,337,,82425,82425,82425,29,2020-05-01T19:00:00Z,2020-05-01T19:57:00Z,38.3046615,-92.437099
MS,7212,1,1,1,1,A,4,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",B,64336,,651,1226,160,,75,,3413,4/30/2020 0:00,5/1/2020 15:38,281,1226,71548,71548,71548,28,2020-04-30T04:00:00Z,2020-05-01T19:38:00Z,32.5851062,-89.8772196
MT,453,1,1,1,1,A,4,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",C,13750,,5,61,,,,,397,4/30/2020 0:00,5/1/2020 16:01,16,61,14203,14203,14203,30,2020-04-30T04:00:00Z,2020-05-01T20:01:00Z,46.6797995,-110.044783
NC,10923,1,1,1,1,A,4,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",B,122909,,547,,,,,,,5/1/2020 11:00,5/1/2020 16:25,399,,133832,133832,133832,37,2020-05-01T15:00:00Z,2020-05-01T20:25:00Z,35.2145629,-79.8912675
ND,1107,1,1,1,0,B,3,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",C,28418,,27,86,,,,,482,5/1/2020 13:00,5/1/2020 16:26,23,86,29525,29525,29525,38,2020-05-01T17:00:00Z,2020-05-01T20:26:00Z,47.4678819,-100.3022655
NE,4281,1,1,1,1,A,4,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",D,23104,,,,,,,,,4/30/2020 19:45,5/1/2020 17:00,70,,27385,27385,27385,31,2020-04-30T23:45:00Z,2020-05-01T21:00:00Z,41.5008195,-99.680902
NH,2146,1,1,1,0,B,3,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",C,19903,302,112,262,,,,,980,4/30/2020 9:00,5/1/2020 16:42,72,262,22351,22049,22049,33,2020-04-30T13:00:00Z,2020-05-01T20:42:00Z,44.0012306,-71.5799231
NJ,121190,1,1,1,1,A,4,"Please stop using the ""total"" field. Use ""totalTestResults"" instead. As of 4/24/20, ""grade"" is deprecated. Please use ""dataQualityGrade"" instead.",A+,135355,583,5972,,1724,,1286,,15642,5/1/2020 13:00,5/1/2020 16:59,7538,,257128,256545,256545,34,2020-05-01T17:00:00Z,2020-05-01T20:59:00Z,40.1430058,-74.7311156
